name,size,time,comparisons
quicksort,1000,0.000053,6059
quicksort,2000,0.000112,13401
quicksort,3000,0.000203,21332
quicksort,4000,0.000237,27977
quicksort,5000,0.000310,34199
quicksort,6000,0.000368,49718
quicksort,7000,0.000436,57368
quicksort,8000,0.000506,56158
quicksort,9000,0.000565,63987
quicksort,10000,0.000632,75892
quicksort,11000,0.000705,89272
quicksort,12000,0.000758,87532
quicksort,13000,0.000910,100543
quicksort,14000,0.000981,111482
quicksort,15000,0.000988,117980
quicksort,16000,0.001095,148579
quicksort,17000,0.001124,131221
quicksort,18000,0.001229,175474
quicksort,19000,0.001262,159073
quicksort,20000,0.001383,160547
quicksort,21000,0.001424,173564
quicksort,22000,0.001514,189252
quicksort,23000,0.001626,210488
quicksort,24000,0.001594,201547
quicksort,25000,0.001671,227262
quicksort,26000,0.001792,224379
quicksort,27000,0.001906,236868
quicksort,28000,0.002103,275525
quicksort,29000,0.001976,240972
quicksort,30000,0.002104,243591
quicksort,31000,0.002153,267000
quicksort,32000,0.002211,284699
quicksort,33000,0.002322,293639
quicksort,34000,0.002361,314841
quicksort,35000,0.002438,365125
quicksort,36000,0.002733,327828
quicksort,37000,0.002561,367477
quicksort,38000,0.002818,351390
quicksort,39000,0.002677,347335
quicksort,40000,0.002824,353837
quicksort,41000,0.003001,375104
quicksort,42000,0.003308,358492
quicksort,43000,0.003120,364342
quicksort,44000,0.003123,409384
quicksort,45000,0.003247,418960
quicksort,46000,0.003378,455511
quicksort,47000,0.003389,442839
quicksort,48000,0.003409,461201
quicksort,49000,0.003944,434330
quicksort,50000,0.003695,475561
quicksort,51000,0.003754,454403
quicksort,52000,0.003958,540962
quicksort,53000,0.004341,636755
quicksort,54000,0.003931,514715
quicksort,55000,0.004110,499242
quicksort,56000,0.004350,552696
quicksort,57000,0.004097,500015
quicksort,58000,0.004344,509539
quicksort,59000,0.004236,541705
quicksort,60000,0.004495,600515
quicksort,61000,0.004520,534789
quicksort,62000,0.004506,615722
quicksort,63000,0.004990,591700
quicksort,64000,0.004802,672267
quicksort,65000,0.004890,715144
quicksort,66000,0.004854,638296
quicksort,67000,0.005078,686491
quicksort,68000,0.005183,628318
quicksort,69000,0.005102,631114
quicksort,70000,0.005554,689307
quicksort,71000,0.005214,644348
quicksort,72000,0.005457,682005
quicksort,73000,0.005334,756855
quicksort,74000,0.005347,745892
quicksort,75000,0.005740,708259
quicksort,76000,0.005363,824301
quicksort,77000,0.005187,692011
quicksort,78000,0.005591,693403
quicksort,79000,0.006217,786602
quicksort,80000,0.005696,834953
quicksort,81000,0.006073,842206
quicksort,82000,0.005903,734039
quicksort,83000,0.006303,793728
quicksort,84000,0.006687,801474
quicksort,85000,0.006946,832911
quicksort,86000,0.007789,778806
quicksort,87000,0.007073,887802
quicksort,88000,0.006675,853803
quicksort,89000,0.007331,887443
quicksort,90000,0.006753,885907
quicksort,91000,0.006891,901175
quicksort,92000,0.007211,877905
quicksort,93000,0.007306,851569
quicksort,94000,0.007367,864644
quicksort,95000,0.006974,983028
quicksort,96000,0.007765,886847
quicksort,97000,0.009097,1014719
quicksort,98000,0.007548,1034812
quicksort,99000,0.007572,960302
quicksort,100000,0.007765,941763
quicksort,101000,0.008081,1108542
quicksort,102000,0.007856,1137131
quicksort,103000,0.008177,1245743
quicksort,104000,0.007993,955846
quicksort,105000,0.008127,1132641
quicksort,106000,0.008394,1070924
quicksort,107000,0.008134,981441
quicksort,108000,0.008171,1094130
quicksort,109000,0.008554,1175152
quicksort,110000,0.008635,1064640
quicksort,111000,0.008370,1108247
quicksort,112000,0.008508,1115772
quicksort,113000,0.008829,1228283
quicksort,114000,0.008740,1209849
quicksort,115000,0.008877,1149106
quicksort,116000,0.009610,1165231
quicksort,117000,0.009586,1231807
quicksort,118000,0.008689,1059693
quicksort,119000,0.010187,1217886
quicksort,120000,0.010322,1223739
quicksort,121000,0.010264,1260090
quicksort,122000,0.009105,1173621
quicksort,123000,0.009799,1233038
quicksort,124000,0.010016,1362117
