name,size,rank,time,comparisons
lazyselect,1000,250,0.000124,3999
lazyselect,2000,500,0.000190,6129
lazyselect,3000,750,0.000273,9635
lazyselect,4000,1000,0.000358,12923
lazyselect,5000,1250,0.000443,15465
lazyselect,6000,1500,0.000567,18073
lazyselect,7000,1750,0.000635,20171
lazyselect,8000,2000,0.000709,22509
lazyselect,9000,2250,0.000782,25104
lazyselect,10000,2500,0.000873,28847
lazyselect,11000,2750,0.000966,29509
lazyselect,12000,3000,0.001119,34429
lazyselect,13000,3250,0.001203,34484
lazyselect,14000,3500,0.001183,33807
lazyselect,15000,3750,0.001298,38739
lazyselect,16000,4000,0.001458,41756
lazyselect,17000,4250,0.001444,42645
lazyselect,18000,4500,0.001527,44191
lazyselect,19000,4750,0.001616,48323
lazyselect,20000,5000,0.001692,53844
lazyselect,21000,5250,0.001834,54019
lazyselect,22000,5500,0.002049,58214
lazyselect,23000,5750,0.002117,60185
lazyselect,24000,6000,0.001993,59139
lazyselect,25000,6250,0.002115,62825
lazyselect,26000,6500,0.002239,62744
lazyselect,27000,6750,0.002465,67742
lazyselect,28000,7000,0.002327,67538
lazyselect,29000,7250,0.002413,72769
lazyselect,30000,7500,0.002521,71222
lazyselect,31000,7750,0.002586,75379
lazyselect,32000,8000,0.002960,79306
lazyselect,33000,8250,0.002740,83737
lazyselect,34000,8500,0.002892,81478
lazyselect,35000,8750,0.002856,81832
lazyselect,36000,9000,0.003069,87912
lazyselect,37000,9250,0.003034,84956
lazyselect,38000,9500,0.003084,86576
lazyselect,39000,9750,0.003290,89412
lazyselect,40000,10000,0.003523,97592
lazyselect,41000,10250,0.003513,99035
lazyselect,42000,10500,0.003483,97781
lazyselect,43000,10750,0.003996,94894
lazyselect,44000,11000,0.003811,99269
lazyselect,45000,11250,0.003731,108898
lazyselect,46000,11500,0.003911,104675
lazyselect,47000,11750,0.003819,109067
lazyselect,48000,12000,0.004020,109267
lazyselect,49000,12250,0.004163,118427
lazyselect,50000,12500,0.004134,118100
lazyselect,51000,12750,0.004168,115233
lazyselect,52000,13000,0.004309,112503
lazyselect,53000,13250,0.004442,115014
lazyselect,54000,13500,0.004455,123152
lazyselect,55000,13750,0.004553,123210
lazyselect,56000,14000,0.004531,122323
lazyselect,57000,14250,0.004839,123770
lazyselect,58000,14500,0.004714,124663
lazyselect,59000,14750,0.004861,131014
lazyselect,60000,15000,0.005126,136510
lazyselect,61000,15250,0.004813,133943
lazyselect,62000,15500,0.004604,135273
lazyselect,63000,15750,0.005569,142906
lazyselect,64000,16000,0.007055,144931
lazyselect,65000,16250,0.005282,140791
lazyselect,66000,16500,0.005317,142924
lazyselect,67000,16750,0.005536,150168
lazyselect,68000,17000,0.005657,148296
lazyselect,69000,17250,0.005914,155853
lazyselect,70000,17500,0.005621,152063
lazyselect,71000,17750,0.005526,153023
lazyselect,72000,18000,0.005528,166103
lazyselect,73000,18250,0.005579,151023
lazyselect,74000,18500,0.006262,150125
lazyselect,75000,18750,0.006138,156401
lazyselect,76000,19000,0.006515,161014
lazyselect,77000,19250,0.005895,159797
lazyselect,78000,19500,0.006431,157519
lazyselect,79000,19750,0.006588,173404
lazyselect,80000,20000,0.006489,174096
lazyselect,81000,20250,0.006840,177400
lazyselect,82000,20500,0.006753,173704
lazyselect,83000,20750,0.007052,171627
lazyselect,84000,21000,0.007418,177776
lazyselect,85000,21250,0.006888,179898
lazyselect,86000,21500,0.006993,164095
lazyselect,87000,21750,0.007043,180410
lazyselect,88000,22000,0.007357,181666
lazyselect,89000,22250,0.007504,178727
lazyselect,90000,22500,0.007258,197824
lazyselect,91000,22750,0.007572,184954
lazyselect,92000,23000,0.007421,198469
lazyselect,93000,23250,0.008713,194264
lazyselect,94000,23500,0.011084,190310
lazyselect,95000,23750,0.008767,206196
lazyselect,96000,24000,0.007673,197073
lazyselect,97000,24250,0.007811,194728
lazyselect,98000,24500,0.007839,200615
lazyselect,99000,24750,0.008970,205576
lazyselect,100000,25000,0.009220,207766
lazyselect,101000,25250,0.008666,192172
lazyselect,102000,25500,0.008213,219216
lazyselect,103000,25750,0.008342,208803
lazyselect,104000,26000,0.008848,202022
lazyselect,105000,26250,0.008393,218440
lazyselect,106000,26500,0.008617,205427
lazyselect,107000,26750,0.008383,217163
lazyselect,108000,27000,0.012102,214765
lazyselect,109000,27250,0.011478,212141
lazyselect,110000,27500,0.008689,219816
lazyselect,111000,27750,0.009660,211238
lazyselect,112000,28000,0.008790,212487
lazyselect,113000,28250,0.009562,223054
lazyselect,114000,28500,0.008836,230873
lazyselect,115000,28750,0.009430,227278
lazyselect,116000,29000,0.009336,222856
lazyselect,117000,29250,0.011002,222710
lazyselect,118000,29500,0.008555,226907
lazyselect,119000,29750,0.009049,226705
lazyselect,120000,30000,0.009514,238357
lazyselect,121000,30250,0.009016,240178
lazyselect,122000,30500,0.008841,239144
lazyselect,123000,30750,0.009817,254191
lazyselect,124000,31000,0.009808,247949
lazyselect,125000,31250,0.010678,244265
lazyselect,126000,31500,0.009478,238427
lazyselect,127000,31750,0.009682,239274
lazyselect,128000,32000,0.009146,255106
lazyselect,129000,32250,0.010361,239944
lazyselect,130000,32500,0.010791,253227
lazyselect,131000,32750,0.011031,249690
lazyselect,132000,33000,0.012136,253432
lazyselect,133000,33250,0.012037,259379
lazyselect,134000,33500,0.011760,252953
lazyselect,135000,33750,0.011729,271402
lazyselect,136000,34000,0.011123,254707
lazyselect,137000,34250,0.011334,263722
lazyselect,138000,34500,0.011469,254626
lazyselect,139000,34750,0.011658,263749
lazyselect,140000,35000,0.011832,268881
lazyselect,141000,35250,0.014658,261882
lazyselect,142000,35500,0.012783,270607
lazyselect,143000,35750,0.011368,263900
lazyselect,144000,36000,0.012802,267501
lazyselect,145000,36250,0.012660,257823
lazyselect,146000,36500,0.011550,269161
lazyselect,147000,36750,0.013857,286654
lazyselect,148000,37000,0.011904,269618
lazyselect,149000,37250,0.011891,288868
lazyselect,150000,37500,0.011781,276572
lazyselect,151000,37750,0.012021,283417
lazyselect,152000,38000,0.011985,277305
lazyselect,153000,38250,0.012038,288619
lazyselect,154000,38500,0.011632,293599
lazyselect,155000,38750,0.011634,281350
lazyselect,156000,39000,0.011321,297052
lazyselect,157000,39250,0.011640,287948
lazyselect,158000,39500,0.011524,293141
lazyselect,159000,39750,0.011579,286910
lazyselect,160000,40000,0.011596,308989
lazyselect,161000,40250,0.011500,289728
lazyselect,162000,40500,0.012519,300987
lazyselect,163000,40750,0.014241,309433
lazyselect,164000,41000,0.012978,297917
lazyselect,165000,41250,0.012546,306240
lazyselect,166000,41500,0.013167,313430
lazyselect,167000,41750,0.012909,316791
lazyselect,168000,42000,0.013339,327363
lazyselect,169000,42250,0.013023,305513
lazyselect,170000,42500,0.013272,321492
lazyselect,171000,42750,0.014796,322944
lazyselect,172000,43000,0.013910,318506
lazyselect,173000,43250,0.014986,315591
lazyselect,174000,43500,0.015085,337667
lazyselect,175000,43750,0.013916,321601
lazyselect,176000,44000,0.014102,337038
lazyselect,177000,44250,0.014598,329521
lazyselect,178000,44500,0.014318,323593
lazyselect,179000,44750,0.014612,318371
lazyselect,180000,45000,0.015104,325206
lazyselect,181000,45250,0.015534,346033
lazyselect,182000,45500,0.015295,332015
lazyselect,183000,45750,0.015818,334876
lazyselect,184000,46000,0.015955,324910
lazyselect,185000,46250,0.014213,336545
lazyselect,186000,46500,0.014278,313111
lazyselect,187000,46750,0.014364,343463
lazyselect,188000,47000,0.014509,333885
lazyselect,189000,47250,0.014358,343865
lazyselect,190000,47500,0.018046,343321
lazyselect,191000,47750,0.014492,354329
lazyselect,192000,48000,0.014696,355962
lazyselect,193000,48250,0.015486,345783
lazyselect,194000,48500,0.015996,349283
lazyselect,195000,48750,0.014623,342581
lazyselect,196000,49000,0.015021,358885
lazyselect,197000,49250,0.015125,350417
lazyselect,198000,49500,0.015263,357246
lazyselect,199000,49750,0.015344,361989
lazyselect,200000,50000,0.015482,355144
lazyselect,201000,50250,0.016335,353880
lazyselect,202000,50500,0.022693,345318
lazyselect,203000,50750,0.016623,367468
lazyselect,204000,51000,0.016714,362855
lazyselect,205000,51250,0.019065,352613
lazyselect,206000,51500,0.016817,379656
lazyselect,207000,51750,0.016790,384958
lazyselect,208000,52000,0.016602,369430
lazyselect,209000,52250,0.016642,362921
lazyselect,210000,52500,0.016470,364083
lazyselect,211000,52750,0.016629,366940
lazyselect,212000,53000,0.016520,361782
lazyselect,213000,53250,0.017128,371360
lazyselect,214000,53500,0.017226,385052
lazyselect,215000,53750,0.016866,382503
lazyselect,216000,54000,0.016956,391843
lazyselect,217000,54250,0.016951,381147
lazyselect,218000,54500,0.016144,371312
lazyselect,219000,54750,0.016497,392053
lazyselect,220000,55000,0.016715,416033
lazyselect,221000,55250,0.017309,396339
lazyselect,222000,55500,0.017259,399455
lazyselect,223000,55750,0.020035,403617
lazyselect,224000,56000,0.020595,401166
lazyselect,225000,56250,0.022721,397601
lazyselect,226000,56500,0.020245,390154
lazyselect,227000,56750,0.019060,394094
lazyselect,228000,57000,0.019308,397840
lazyselect,229000,57250,0.017817,396288
lazyselect,230000,57500,0.018314,437925
lazyselect,231000,57750,0.017858,409450
lazyselect,232000,58000,0.017056,414763
lazyselect,233000,58250,0.019993,408003
lazyselect,234000,58500,0.020714,412307
lazyselect,235000,58750,0.018857,429061
lazyselect,236000,59000,0.019011,415218
lazyselect,237000,59250,0.022057,423593
lazyselect,238000,59500,0.018845,423221
lazyselect,239000,59750,0.018711,419252
lazyselect,240000,60000,0.018772,419053
lazyselect,241000,60250,0.018719,408643
lazyselect,242000,60500,0.019001,408541
lazyselect,243000,60750,0.020577,410644
