name,size,rank,time,comparisons
quickselect,1000,250,0.000043,3912
quickselect,2000,500,0.000045,4801
quickselect,3000,750,0.000044,5848
quickselect,4000,1000,0.000069,11215
quickselect,5000,1250,0.000094,22324
quickselect,6000,1500,0.000084,15269
quickselect,7000,1750,0.000087,15996
quickselect,8000,2000,0.000140,34028
quickselect,9000,2250,0.000114,25864
quickselect,10000,2500,0.000150,42188
quickselect,11000,2750,0.000142,33097
quickselect,12000,3000,0.000138,29545
quickselect,13000,3250,0.000186,50464
quickselect,14000,3500,0.000149,32347
quickselect,15000,3750,0.000264,89467
quickselect,16000,4000,0.000183,42044
quickselect,17000,4250,0.000285,63054
quickselect,18000,4500,0.000202,45452
quickselect,19000,4750,0.000298,105017
quickselect,20000,5000,0.000301,96199
quickselect,21000,5250,0.000267,67716
quickselect,22000,5500,0.000260,62336
quickselect,23000,5750,0.000331,64176
quickselect,24000,6000,0.000321,77557
quickselect,25000,6250,0.000416,141263
quickselect,26000,6500,0.000311,88195
quickselect,27000,6750,0.000370,95109
quickselect,28000,7000,0.000317,80684
quickselect,29000,7250,0.000291,72226
quickselect,30000,7500,0.000392,99211
quickselect,31000,7750,0.000425,118607
quickselect,32000,8000,0.000473,117705
quickselect,33000,8250,0.000415,117531
quickselect,34000,8500,0.000416,103932
quickselect,35000,8750,0.000437,98712
quickselect,36000,9000,0.000363,75736
quickselect,37000,9250,0.000266,89108
quickselect,38000,9500,0.000325,118617
quickselect,39000,9750,0.000443,122712
quickselect,40000,10000,0.000354,94807
quickselect,41000,10250,0.000358,84729
quickselect,42000,10500,0.000518,141452
quickselect,43000,10750,0.000525,132351
quickselect,44000,11000,0.000334,100092
quickselect,45000,11250,0.000805,216934
quickselect,46000,11500,0.000483,111258
quickselect,47000,11750,0.000577,164293
quickselect,48000,12000,0.000558,147287
quickselect,49000,12250,0.000550,149169
quickselect,50000,12500,0.000604,209613
quickselect,51000,12750,0.000574,137029
quickselect,52000,13000,0.000657,180643
quickselect,53000,13250,0.000361,89634
quickselect,54000,13500,0.000670,185017
quickselect,55000,13750,0.000514,144161
quickselect,56000,14000,0.000645,161225
quickselect,57000,14250,0.000648,167931
quickselect,58000,14500,0.000606,171080
quickselect,59000,14750,0.000411,134624
quickselect,60000,15000,0.000550,128897
quickselect,61000,15250,0.000368,98977
quickselect,62000,15500,0.000847,209803
quickselect,63000,15750,0.000721,215518
quickselect,64000,16000,0.000926,331527
quickselect,65000,16250,0.000542,184555
quickselect,66000,16500,0.001039,366411
quickselect,67000,16750,0.000721,180148
quickselect,68000,17000,0.000748,208859
quickselect,69000,17250,0.000779,184688
quickselect,70000,17500,0.000805,259149
quickselect,71000,17750,0.000779,190826
quickselect,72000,18000,0.000829,262384
quickselect,73000,18250,0.000572,166107
quickselect,74000,18500,0.000718,208305
quickselect,75000,18750,0.000643,181493
quickselect,76000,19000,0.000562,182477
quickselect,77000,19250,0.001398,478572
quickselect,78000,19500,0.001053,306621
quickselect,79000,19750,0.000826,223904
quickselect,80000,20000,0.000806,241025
quickselect,81000,20250,0.000714,179655
quickselect,82000,20500,0.000651,169712
quickselect,83000,20750,0.000972,252534
quickselect,84000,21000,0.001009,234995
quickselect,85000,21250,0.000958,252880
quickselect,86000,21500,0.000728,209498
quickselect,87000,21750,0.001048,330453
quickselect,88000,22000,0.000896,219311
quickselect,89000,22250,0.001277,448760
quickselect,90000,22500,0.000971,279639
quickselect,91000,22750,0.000967,279832
quickselect,92000,23000,0.001073,228161
quickselect,93000,23250,0.000982,232684
quickselect,94000,23500,0.000926,217617
quickselect,95000,23750,0.000601,245251
quickselect,96000,24000,0.001111,321379
quickselect,97000,24250,0.000860,263821
quickselect,98000,24500,0.001089,304266
quickselect,99000,24750,0.001691,540589
quickselect,100000,25000,0.000940,281558
quickselect,101000,25250,0.001352,425696
quickselect,102000,25500,0.001165,340304
quickselect,103000,25750,0.001373,441122
quickselect,104000,26000,0.001415,449961
quickselect,105000,26250,0.000758,245416
quickselect,106000,26500,0.000866,198049
quickselect,107000,26750,0.001555,534963
quickselect,108000,27000,0.001180,327136
quickselect,109000,27250,0.001579,524017
quickselect,110000,27500,0.000882,286754
quickselect,111000,27750,0.000928,311764
quickselect,112000,28000,0.001364,525553
quickselect,113000,28250,0.000839,248001
quickselect,114000,28500,0.001080,325254
quickselect,115000,28750,0.002054,467142
quickselect,116000,29000,0.001419,425893
quickselect,117000,29250,0.001311,349715
quickselect,118000,29500,0.001130,433089
quickselect,119000,29750,0.001210,303943
quickselect,120000,30000,0.000926,278331
quickselect,121000,30250,0.001830,624684
quickselect,122000,30500,0.000655,196465
quickselect,123000,30750,0.001413,355058
quickselect,124000,31000,0.001257,323813
quickselect,125000,31250,0.000785,195972
quickselect,126000,31500,0.000890,300258
quickselect,127000,31750,0.001625,473298
quickselect,128000,32000,0.001749,575110
quickselect,129000,32250,0.001370,331329
quickselect,130000,32500,0.002401,769430
quickselect,131000,32750,0.000928,271115
quickselect,132000,33000,0.001189,289509
quickselect,133000,33250,0.000968,241274
quickselect,134000,33500,0.001247,364966
quickselect,135000,33750,0.001197,348131
quickselect,136000,34000,0.001635,406029
quickselect,137000,34250,0.001069,298753
quickselect,138000,34500,0.001439,358594
quickselect,139000,34750,0.002818,553646
quickselect,140000,35000,0.000710,195963
quickselect,141000,35250,0.001776,487001
quickselect,142000,35500,0.002282,602286
quickselect,143000,35750,0.002142,530393
quickselect,144000,36000,0.001693,463429
quickselect,145000,36250,0.001722,404592
quickselect,146000,36500,0.001162,340357
quickselect,147000,36750,0.002710,841248
quickselect,148000,37000,0.002628,614864
quickselect,149000,37250,0.002858,827412
quickselect,150000,37500,0.002793,724293
quickselect,151000,37750,0.001637,415320
quickselect,152000,38000,0.001817,468152
quickselect,153000,38250,0.001352,303602
quickselect,154000,38500,0.002760,791369
quickselect,155000,38750,0.001358,310580
quickselect,156000,39000,0.002092,617816
quickselect,157000,39250,0.002234,568223
quickselect,158000,39500,0.002000,495876
quickselect,159000,39750,0.001227,275596
quickselect,160000,40000,0.002527,595121
quickselect,161000,40250,0.003031,641190
quickselect,162000,40500,0.001939,494388
quickselect,163000,40750,0.001558,340521
quickselect,164000,41000,0.001089,326125
quickselect,165000,41250,0.001780,494806
quickselect,166000,41500,0.001437,290607
quickselect,167000,41750,0.001824,439477
quickselect,168000,42000,0.002233,496561
quickselect,169000,42250,0.000978,337092
quickselect,170000,42500,0.001266,273594
quickselect,171000,42750,0.001519,415017
quickselect,172000,43000,0.004341,777845
quickselect,173000,43250,0.002021,459206
quickselect,174000,43500,0.002935,885337
quickselect,175000,43750,0.003861,574610
quickselect,176000,44000,0.001239,335373
quickselect,177000,44250,0.001400,316044
quickselect,178000,44500,0.001297,308598
quickselect,179000,44750,0.001489,338415
quickselect,180000,45000,0.002824,680984
quickselect,181000,45250,0.004006,1094716
quickselect,182000,45500,0.002097,561763
quickselect,183000,45750,0.002341,586862
quickselect,184000,46000,0.001619,460549
quickselect,185000,46250,0.002808,797680
quickselect,186000,46500,0.002339,613227
quickselect,187000,46750,0.002576,713497
quickselect,188000,47000,0.002461,665395
quickselect,189000,47250,0.001817,529056
quickselect,190000,47500,0.001388,338417
quickselect,191000,47750,0.002004,555526
quickselect,192000,48000,0.002110,547825
quickselect,193000,48250,0.001836,488202
quickselect,194000,48500,0.004037,534109
quickselect,195000,48750,0.003654,1064705
quickselect,196000,49000,0.002717,712361
quickselect,197000,49250,0.002175,504981
quickselect,198000,49500,0.001937,441658
quickselect,199000,49750,0.002318,538084
quickselect,200000,50000,0.002339,676038
quickselect,201000,50250,0.003064,787672
quickselect,202000,50500,0.003044,815769
quickselect,203000,50750,0.002219,529327
quickselect,204000,51000,0.001168,394239
quickselect,205000,51250,0.002130,446619
quickselect,206000,51500,0.002765,774210
quickselect,207000,51750,0.002246,561746
quickselect,208000,52000,0.003852,850796
quickselect,209000,52250,0.003558,780333
quickselect,210000,52500,0.001534,364585
quickselect,211000,52750,0.002683,696183
quickselect,212000,53000,0.002369,705033
quickselect,213000,53250,0.002606,596453
quickselect,214000,53500,0.003680,969541
quickselect,215000,53750,0.002164,492766
quickselect,216000,54000,0.002263,513241
quickselect,217000,54250,0.001953,414313
quickselect,218000,54500,0.002331,546850
quickselect,219000,54750,0.001846,539859
quickselect,220000,55000,0.003021,812375
quickselect,221000,55250,0.002975,740513
quickselect,222000,55500,0.002069,505698
quickselect,223000,55750,0.002658,643823
quickselect,224000,56000,0.003766,896141
quickselect,225000,56250,0.004697,1317024
quickselect,226000,56500,0.002714,678659
quickselect,227000,56750,0.002662,740063
quickselect,228000,57000,0.003239,770008
quickselect,229000,57250,0.003952,879567
quickselect,230000,57500,0.002346,583251
quickselect,231000,57750,0.004766,1285826
quickselect,232000,58000,0.004902,1321726
quickselect,233000,58250,0.004756,841983
quickselect,234000,58500,0.002660,652638
quickselect,235000,58750,0.002321,533604
quickselect,236000,59000,0.002818,677078
quickselect,237000,59250,0.002176,521933
quickselect,238000,59500,0.001614,404362
quickselect,239000,59750,0.002222,495118
quickselect,240000,60000,0.002512,706149
quickselect,241000,60250,0.003379,840426
quickselect,242000,60500,0.002255,477007
quickselect,243000,60750,0.003113,686300
quickselect,244000,61000,0.003105,812572
quickselect,245000,61250,0.003219,782605
quickselect,246000,61500,0.002245,497883
quickselect,247000,61750,0.003441,748413
quickselect,248000,62000,0.003635,690866
quickselect,249000,62250,0.003067,709133
quickselect,250000,62500,0.002933,613281
quickselect,251000,62750,0.004679,1260920
quickselect,252000,63000,0.001383,375463
quickselect,253000,63250,0.003637,1014952
quickselect,254000,63500,0.003080,749582
quickselect,255000,63750,0.004142,877927
quickselect,256000,64000,0.001525,451563
quickselect,257000,64250,0.004206,986052
quickselect,258000,64500,0.003634,631149
quickselect,259000,64750,0.004233,1005240
quickselect,260000,65000,0.004268,1117429
quickselect,261000,65250,0.003411,1081854
quickselect,262000,65500,0.004595,1348349
quickselect,263000,65750,0.003896,969329
quickselect,264000,66000,0.003420,759867
quickselect,265000,66250,0.002132,625637
quickselect,266000,66500,0.004038,1102768
quickselect,267000,66750,0.002773,617577
quickselect,268000,67000,0.004211,845442
quickselect,269000,67250,0.003173,734951
quickselect,270000,67500,0.004813,1268164
quickselect,271000,67750,0.004014,990273
quickselect,272000,68000,0.002545,756861
quickselect,273000,68250,0.004631,985866
quickselect,274000,68500,0.004249,991361
quickselect,275000,68750,0.002566,617703
quickselect,276000,69000,0.002815,777725
quickselect,277000,69250,0.001656,549060
quickselect,278000,69500,0.002458,499106
quickselect,279000,69750,0.003783,1105447
quickselect,280000,70000,0.002049,580382
quickselect,281000,70250,0.006058,1684881
quickselect,282000,70500,0.004095,1130256
quickselect,283000,70750,0.004053,917409
