name,size,rank,time,comparisons
quickselect,1000,250,0.000036,2656
quickselect,2000,500,0.000046,7489
quickselect,3000,750,0.000057,8712
quickselect,4000,1000,0.000056,9194
quickselect,5000,1250,0.000075,13214
quickselect,6000,1500,0.000086,17666
quickselect,7000,1750,0.000073,15256
quickselect,8000,2000,0.000115,24479
quickselect,9000,2250,0.000109,24383
quickselect,10000,2500,0.000124,25463
quickselect,11000,2750,0.000144,27033
quickselect,12000,3000,0.000183,34202
quickselect,13000,3250,0.000284,41394
quickselect,14000,3500,0.000177,34137
quickselect,15000,3750,0.000187,39493
quickselect,16000,4000,0.000188,40275
quickselect,17000,4250,0.000237,41826
quickselect,18000,4500,0.000218,49104
quickselect,19000,4750,0.000271,49957
quickselect,20000,5000,0.000251,57167
quickselect,21000,5250,0.000277,56776
quickselect,22000,5500,0.000285,70431
quickselect,23000,5750,0.000281,61662
quickselect,24000,6000,0.000286,59129
quickselect,25000,6250,0.000298,64263
quickselect,26000,6500,0.000360,65779
quickselect,27000,6750,0.000284,66657
quickselect,28000,7000,0.000333,70920
quickselect,29000,7250,0.000388,74422
quickselect,30000,7500,0.000427,78773
quickselect,31000,7750,0.000403,93509
quickselect,32000,8000,0.000355,81590
quickselect,33000,8250,0.000368,81929
quickselect,34000,8500,0.000398,93590
quickselect,35000,8750,0.000382,86486
quickselect,36000,9000,0.000384,89484
quickselect,37000,9250,0.000463,94268
quickselect,38000,9500,0.000403,93755
quickselect,39000,9750,0.000453,100981
quickselect,40000,10000,0.000449,103801
quickselect,41000,10250,0.000468,103795
quickselect,42000,10500,0.000446,106035
quickselect,43000,10750,0.000467,108512
quickselect,44000,11000,0.000489,112408
quickselect,45000,11250,0.000488,113861
quickselect,46000,11500,0.000513,114804
quickselect,47000,11750,0.000501,119118
quickselect,48000,12000,0.000554,121211
quickselect,49000,12250,0.000552,127061
quickselect,50000,12500,0.000563,129467
quickselect,51000,12750,0.000591,130070
quickselect,52000,13000,0.000579,135031
quickselect,53000,13250,0.000589,138427
quickselect,54000,13500,0.000571,134284
quickselect,55000,13750,0.000586,139267
quickselect,56000,14000,0.000613,139667
quickselect,57000,14250,0.000612,146733
quickselect,58000,14500,0.000630,149232
quickselect,59000,14750,0.000664,154046
quickselect,60000,15000,0.000683,151550
quickselect,61000,15250,0.000698,157124
quickselect,62000,15500,0.000688,155894
quickselect,63000,15750,0.000687,161753
quickselect,64000,16000,0.000703,164776
quickselect,65000,16250,0.000820,166387
quickselect,66000,16500,0.000705,166667
quickselect,67000,16750,0.000740,169366
quickselect,68000,17000,0.000725,173349
quickselect,69000,17250,0.000759,178160
quickselect,70000,17500,0.000773,181962
quickselect,71000,17750,0.000780,180014
quickselect,72000,18000,0.000753,180502
quickselect,73000,18250,0.000812,188388
quickselect,74000,18500,0.000781,190542
quickselect,75000,18750,0.000750,189955
quickselect,76000,19000,0.000757,194927
quickselect,77000,19250,0.000776,194240
quickselect,78000,19500,0.000773,201365
quickselect,79000,19750,0.000797,203982
quickselect,80000,20000,0.000802,205238
quickselect,81000,20250,0.000806,205546
quickselect,82000,20500,0.000888,211938
quickselect,83000,20750,0.000823,212734
quickselect,84000,21000,0.000836,212711
quickselect,85000,21250,0.000815,214805
quickselect,86000,21500,0.000922,224272
quickselect,87000,21750,0.001072,223147
quickselect,88000,22000,0.000856,224920
quickselect,89000,22250,0.000880,228510
quickselect,90000,22500,0.000993,227329
quickselect,91000,22750,0.000941,232506
quickselect,92000,23000,0.001005,240451
