name,size,rank,time,comparisons
quickselect,1000,250,0.000029,4354
quickselect,1000,250,0.000013,3117
quickselect,1000,250,0.000009,1684
quickselect,1000,250,0.000016,3540
quickselect,1000,250,0.000012,2167
quickselect,1000,250,0.000015,2569
quickselect,1000,250,0.000015,3204
quickselect,1000,250,0.000013,2593
quickselect,1000,250,0.000013,2850
quickselect,1000,250,0.000014,2674
quickselect,1000,250,0.000018,4765
quickselect,1000,250,0.000015,2684
quickselect,1000,250,0.000014,3364
quickselect,1000,250,0.000012,2312
quickselect,1000,250,0.000013,2055
quickselect,1000,250,0.000022,3810
quickselect,1000,250,0.000018,4283
quickselect,1000,250,0.000019,3238
quickselect,1000,250,0.000022,3667
quickselect,1000,250,0.000016,2064
quickselect,1000,250,0.000013,1920
quickselect,1000,250,0.000021,3147
quickselect,1000,250,0.000018,3023
quickselect,1000,250,0.000024,4742
quickselect,1000,250,0.000023,3669
quickselect,1000,250,0.000017,2947
quickselect,1000,250,0.000022,3190
quickselect,1000,250,0.000015,2053
quickselect,1000,250,0.000016,2967
quickselect,1000,250,0.000017,3028
quickselect,1000,250,0.000016,1739
quickselect,1000,250,0.000021,4483
quickselect,1000,250,0.000028,4700
quickselect,1000,250,0.000011,1732
quickselect,1000,250,0.000011,2218
quickselect,1000,250,0.000015,2943
quickselect,1000,250,0.000018,3928
quickselect,1000,250,0.000016,3968
quickselect,1000,250,0.000017,2192
quickselect,1000,250,0.000010,1328
quickselect,1000,250,0.000017,2314
quickselect,1000,250,0.000018,3152
quickselect,1000,250,0.000018,4028
quickselect,1000,250,0.000014,2689
quickselect,1000,250,0.000018,3942
quickselect,1000,250,0.000039,2969
quickselect,1000,250,0.000015,2557
quickselect,1000,250,0.000010,2116
quickselect,1000,250,0.000014,2713
quickselect,1000,250,0.000019,3833
quickselect,1000,250,0.000017,4381
quickselect,1000,250,0.000017,3446
quickselect,1000,250,0.000017,4566
quickselect,1000,250,0.000014,3924
quickselect,1000,250,0.000015,3118
quickselect,1000,250,0.000014,3279
quickselect,1000,250,0.000013,2648
quickselect,1000,250,0.000014,2156
quickselect,1000,250,0.000011,2790
quickselect,1000,250,0.000015,2778
quickselect,1000,250,0.000012,2412
quickselect,1000,250,0.000012,2026
quickselect,1000,250,0.000015,2665
quickselect,1000,250,0.000017,3881
quickselect,1000,250,0.000015,4004
quickselect,1000,250,0.000014,3177
quickselect,1000,250,0.000016,3855
quickselect,1000,250,0.000017,4650
quickselect,1000,250,0.000013,3170
quickselect,1000,250,0.000012,2510
quickselect,1000,250,0.000018,4697
quickselect,1000,250,0.000016,3285
quickselect,1000,250,0.000020,3668
quickselect,1000,250,0.000023,3898
quickselect,1000,250,0.000010,2147
quickselect,1000,250,0.000016,3277
quickselect,1000,250,0.000018,4476
quickselect,1000,250,0.000015,3296
quickselect,1000,250,0.000015,3551
quickselect,1000,250,0.000022,6110
quickselect,1000,250,0.000017,4184
quickselect,1000,250,0.000016,3959
quickselect,1000,250,0.000012,2881
quickselect,1000,250,0.000016,3934
quickselect,1000,250,0.000011,2049
quickselect,1000,250,0.000016,2869
quickselect,1000,250,0.000014,1816
quickselect,1000,250,0.000016,3232
quickselect,1000,250,0.000027,5418
quickselect,1000,250,0.000021,4462
quickselect,1000,250,0.000025,4010
quickselect,1000,250,0.000017,3357
quickselect,1000,250,0.000013,2847
quickselect,1000,250,0.000018,3187
quickselect,1000,250,0.000016,3732
quickselect,1000,250,0.000014,2486
quickselect,1000,250,0.000017,3570
quickselect,1000,250,0.000014,3131
quickselect,1000,250,0.000007,1365
quickselect,1000,250,0.000018,4268
quickselect,1000,250,0.000014,2087
quickselect,1000,250,0.000015,3068
quickselect,1000,250,0.000008,1611
quickselect,1000,250,0.000012,2587
quickselect,1000,250,0.000012,2303
quickselect,1000,250,0.000013,2707
quickselect,1000,250,0.000016,3775
quickselect,1000,250,0.000012,2232
quickselect,1000,250,0.000009,1654
quickselect,1000,250,0.000018,4581
quickselect,1000,250,0.000014,3203
quickselect,1000,250,0.000014,2740
quickselect,1000,250,0.000012,2123
quickselect,1000,250,0.000012,2476
quickselect,1000,250,0.000010,2021
quickselect,1000,250,0.000011,1997
quickselect,1000,250,0.000015,3194
quickselect,1000,250,0.000017,3473
quickselect,1000,250,0.000012,2155
quickselect,1000,250,0.000012,2417
quickselect,1000,250,0.000014,3170
quickselect,1000,250,0.000010,2267
quickselect,1000,250,0.000015,3655
quickselect,1000,250,0.000023,5044
quickselect,1000,250,0.000016,3539
quickselect,1000,250,0.000016,3092
quickselect,1000,250,0.000019,4227
quickselect,1000,250,0.000014,2873
quickselect,1000,250,0.000020,5217
quickselect,1000,250,0.000017,3572
quickselect,1000,250,0.000018,3917
quickselect,1000,250,0.000016,3134
quickselect,1000,250,0.000014,2919
quickselect,1000,250,0.000015,3861
quickselect,1000,250,0.000011,2153
quickselect,1000,250,0.000017,4320
quickselect,1000,250,0.000012,2847
quickselect,1000,250,0.000022,4322
quickselect,1000,250,0.000012,2560
quickselect,1000,250,0.000016,3744
quickselect,1000,250,0.000018,4263
quickselect,1000,250,0.000013,2320
quickselect,1000,250,0.000014,2560
quickselect,1000,250,0.000021,5277
quickselect,1000,250,0.000025,2878
quickselect,1000,250,0.000024,3816
quickselect,1000,250,0.000025,3076
quickselect,1000,250,0.000020,3228
quickselect,1000,250,0.000018,2484
quickselect,1000,250,0.000012,2201
quickselect,1000,250,0.000021,4638
quickselect,1000,250,0.000021,4712
quickselect,1000,250,0.000018,4008
quickselect,1000,250,0.000016,3402
quickselect,1000,250,0.000016,3764
quickselect,1000,250,0.000014,2745
quickselect,1000,250,0.000014,2984
quickselect,1000,250,0.000018,5000
quickselect,1000,250,0.000016,4562
quickselect,1000,250,0.000011,1776
quickselect,1000,250,0.000013,2983
quickselect,1000,250,0.000016,2967
quickselect,1000,250,0.000011,2089
quickselect,1000,250,0.000027,2969
quickselect,1000,250,0.000012,2644
quickselect,1000,250,0.000010,2548
quickselect,1000,250,0.000010,2077
quickselect,1000,250,0.000014,2968
quickselect,1000,250,0.000011,2618
quickselect,1000,250,0.000009,2267
quickselect,1000,250,0.000013,2518
quickselect,1000,250,0.000016,3901
quickselect,1000,250,0.000013,2511
quickselect,1000,250,0.000011,2217
quickselect,1000,250,0.000014,2727
quickselect,1000,250,0.000013,3017
quickselect,1000,250,0.000019,4050
quickselect,1000,250,0.000011,2144
quickselect,1000,250,0.000011,2309
quickselect,1000,250,0.000014,3714
quickselect,1000,250,0.000013,3076
quickselect,1000,250,0.000015,3267
quickselect,1000,250,0.000017,4231
quickselect,1000,250,0.000015,3316
quickselect,1000,250,0.000013,2606
quickselect,1000,250,0.000027,2755
quickselect,1000,250,0.000013,2483
quickselect,1000,250,0.000007,1451
quickselect,1000,250,0.000017,3795
quickselect,1000,250,0.000010,2402
quickselect,1000,250,0.000013,2357
quickselect,1000,250,0.000012,2383
quickselect,1000,250,0.000015,3530
quickselect,1000,250,0.000010,1904
quickselect,1000,250,0.000014,2282
quickselect,1000,250,0.000015,3322
quickselect,1000,250,0.000012,2587
quickselect,1000,250,0.000021,5130
quickselect,1000,250,0.000013,2731
quickselect,1000,250,0.000010,2324
quickselect,1000,250,0.000009,1896
quickselect,1000,250,0.000016,3838
quickselect,1000,250,0.000017,3747
quickselect,1000,250,0.000037,4762
quickselect,1000,250,0.000014,2789
quickselect,1000,250,0.000010,2916
quickselect,1000,250,0.000014,3356
quickselect,1000,250,0.000016,4322
quickselect,1000,250,0.000013,2420
quickselect,1000,250,0.000015,3244
quickselect,1000,250,0.000015,2523
quickselect,1000,250,0.000013,3204
quickselect,1000,250,0.000012,2421
quickselect,1000,250,0.000015,3365
quickselect,1000,250,0.000013,2407
quickselect,1000,250,0.000014,2384
quickselect,1000,250,0.000015,3263
quickselect,1000,250,0.000008,1613
quickselect,1000,250,0.000012,1932
quickselect,1000,250,0.000016,2981
quickselect,1000,250,0.000014,3505
quickselect,1000,250,0.000009,1524
quickselect,1000,250,0.000037,3697
quickselect,1000,250,0.000026,3636
quickselect,1000,250,0.000012,1735
quickselect,1000,250,0.000015,2891
quickselect,1000,250,0.000014,2605
quickselect,1000,250,0.000011,2353
quickselect,1000,250,0.000021,5329
quickselect,1000,250,0.000016,3682
quickselect,1000,250,0.000012,2191
quickselect,1000,250,0.000014,3166
quickselect,1000,250,0.000013,2495
quickselect,1000,250,0.000016,4409
quickselect,1000,250,0.000009,1851
quickselect,1000,250,0.000018,3988
quickselect,1000,250,0.000015,3772
quickselect,1000,250,0.000009,1627
quickselect,1000,250,0.000018,4083
quickselect,1000,250,0.000014,2123
quickselect,1000,250,0.000015,2570
quickselect,1000,250,0.000011,1898
quickselect,1000,250,0.000012,2042
quickselect,1000,250,0.000017,3436
quickselect,1000,250,0.000009,1678
quickselect,1000,250,0.000013,2894
quickselect,1000,250,0.000016,2571
quickselect,1000,250,0.000010,2724
quickselect,1000,250,0.000013,3010
quickselect,1000,250,0.000016,2286
quickselect,1000,250,0.000019,3181
quickselect,1000,250,0.000016,3141
quickselect,1000,250,0.000025,2454
quickselect,1000,250,0.000018,3032
quickselect,1000,250,0.000029,3183
quickselect,1000,250,0.000017,3321
quickselect,1000,250,0.000013,2071
quickselect,1000,250,0.000011,2134
quickselect,1000,250,0.000018,3662
quickselect,1000,250,0.000016,3805
quickselect,1000,250,0.000016,3589
quickselect,1000,250,0.000012,2719
quickselect,1000,250,0.000017,5453
quickselect,1000,250,0.000055,2781
quickselect,1000,250,0.000016,3374
quickselect,1000,250,0.000013,2285
quickselect,1000,250,0.000012,2158
quickselect,1000,250,0.000019,3807
quickselect,1000,250,0.000015,2616
quickselect,1000,250,0.000015,3391
quickselect,1000,250,0.000014,2640
quickselect,1000,250,0.000021,5563
quickselect,1000,250,0.000014,2832
quickselect,1000,250,0.000014,3430
quickselect,1000,250,0.000009,2159
quickselect,1000,250,0.000013,2144
quickselect,1000,250,0.000020,5261
quickselect,1000,250,0.000016,4276
quickselect,1000,250,0.000014,2857
quickselect,1000,250,0.000013,2216
quickselect,1000,250,0.000018,3958
quickselect,1000,250,0.000015,3005
quickselect,1000,250,0.000012,1960
quickselect,1000,250,0.000015,2636
quickselect,1000,250,0.000025,4319
quickselect,1000,250,0.000015,3121
quickselect,1000,250,0.000014,2701
quickselect,1000,250,0.000015,3691
quickselect,1000,250,0.000011,2363
quickselect,1000,250,0.000013,4413
quickselect,1000,250,0.000018,4502
quickselect,1000,250,0.000016,3605
quickselect,1000,250,0.000012,2313
quickselect,1000,250,0.000015,3487
quickselect,1000,250,0.000015,2917
quickselect,1000,250,0.000014,2997
quickselect,1000,250,0.000018,4723
quickselect,1000,250,0.000012,2018
quickselect,1000,250,0.000017,3036
quickselect,1000,250,0.000017,3072
quickselect,1000,250,0.000018,4170
quickselect,1000,250,0.000013,2252
quickselect,1000,250,0.000016,3703
quickselect,1000,250,0.000017,4208
quickselect,1000,250,0.000016,3415
quickselect,1000,250,0.000016,3415
quickselect,1000,250,0.000030,3520
quickselect,1000,250,0.000047,2841
quickselect,1000,250,0.000015,3222
quickselect,1000,250,0.000020,5249
quickselect,1000,250,0.000009,1625
quickselect,1000,250,0.000018,4305
quickselect,1000,250,0.000009,1826
quickselect,1000,250,0.000011,2045
quickselect,1000,250,0.000014,3177
quickselect,1000,250,0.000017,4353
quickselect,1000,250,0.000013,2593
quickselect,1000,250,0.000013,2822
quickselect,1000,250,0.000014,2895
quickselect,1000,250,0.000011,2194
quickselect,1000,250,0.000014,4494
quickselect,1000,250,0.000018,4837
quickselect,1000,250,0.000013,2733
quickselect,1000,250,0.000013,2553
quickselect,1000,250,0.000011,2116
quickselect,1000,250,0.000011,2016
quickselect,1000,250,0.000014,3569
quickselect,1000,250,0.000013,3640
quickselect,1000,250,0.000018,4873
quickselect,1000,250,0.000015,3839
quickselect,1000,250,0.000012,3297
quickselect,1000,250,0.000016,4253
quickselect,1000,250,0.000018,4752
quickselect,1000,250,0.000010,2650
quickselect,1000,250,0.000009,1767
quickselect,1000,250,0.000016,4313
quickselect,1000,250,0.000014,2813
quickselect,1000,250,0.000009,2676
quickselect,1000,250,0.000014,2900
quickselect,1000,250,0.000013,2892
quickselect,1000,250,0.000012,3497
quickselect,1000,250,0.000012,2149
quickselect,1000,250,0.000015,3763
quickselect,1000,250,0.000011,2051
quickselect,1000,250,0.000007,1588
quickselect,1000,250,0.000012,2205
quickselect,1000,250,0.000013,2538
quickselect,1000,250,0.000008,1646
quickselect,1000,250,0.000014,2983
quickselect,1000,250,0.000015,3147
quickselect,1000,250,0.000014,3334
quickselect,1000,250,0.000030,2870
quickselect,1000,250,0.000019,5632
quickselect,1000,250,0.000016,4684
quickselect,1000,250,0.000013,2616
quickselect,1000,250,0.000015,2872
quickselect,1000,250,0.000013,2975
quickselect,1000,250,0.000018,4534
quickselect,1000,250,0.000012,2387
quickselect,1000,250,0.000016,3925
quickselect,1000,250,0.000013,3247
quickselect,1000,250,0.000014,3324
quickselect,1000,250,0.000011,2291
quickselect,1000,250,0.000014,1550
quickselect,1000,250,0.000018,5047
quickselect,1000,250,0.000014,3092
quickselect,1000,250,0.000012,2277
quickselect,1000,250,0.000010,1975
quickselect,1000,250,0.000016,3791
quickselect,1000,250,0.000017,4267
quickselect,1000,250,0.000020,5638
quickselect,1000,250,0.000016,3850
quickselect,1000,250,0.000014,4566
quickselect,1000,250,0.000014,3094
quickselect,1000,250,0.000011,1902
quickselect,1000,250,0.000011,2769
quickselect,1000,250,0.000015,2993
quickselect,1000,250,0.000012,2869
quickselect,1000,250,0.000014,3394
quickselect,1000,250,0.000016,3763
quickselect,1000,250,0.000009,1539
quickselect,1000,250,0.000014,3394
quickselect,1000,250,0.000014,3468
quickselect,1000,250,0.000012,2559
quickselect,1000,250,0.000021,5348
quickselect,1000,250,0.000015,3996
quickselect,1000,250,0.000015,3565
quickselect,1000,250,0.000016,3536
quickselect,1000,250,0.000009,1656
quickselect,1000,250,0.000015,3719
quickselect,1000,250,0.000012,2208
quickselect,1000,250,0.000007,1483
quickselect,1000,250,0.000011,2091
quickselect,1000,250,0.000013,2369
quickselect,1000,250,0.000015,3363
quickselect,1000,250,0.000011,2678
quickselect,1000,250,0.000018,4762
quickselect,1000,250,0.000013,2466
quickselect,1000,250,0.000012,2971
quickselect,1000,250,0.000012,3086
quickselect,1000,250,0.000014,3358
quickselect,1000,250,0.000009,1632
quickselect,1000,250,0.000013,2757
quickselect,1000,250,0.000012,2640
quickselect,1000,250,0.000015,3618
quickselect,1000,250,0.000012,2678
quickselect,1000,250,0.000015,3074
quickselect,1000,250,0.000014,3168
quickselect,1000,250,0.000013,2097
quickselect,1000,250,0.000017,4405
quickselect,1000,250,0.000015,3451
quickselect,1000,250,0.000013,3628
quickselect,1000,250,0.000015,3915
quickselect,1000,250,0.000010,1818
quickselect,1000,250,0.000016,3828
quickselect,1000,250,0.000018,4819
quickselect,1000,250,0.000012,2744
quickselect,1000,250,0.000025,3620
quickselect,1000,250,0.000008,1775
quickselect,1000,250,0.000016,4010
quickselect,1000,250,0.000014,3171
quickselect,1000,250,0.000015,3111
quickselect,1000,250,0.000013,3501
quickselect,1000,250,0.000009,1700
quickselect,1000,250,0.000015,3415
quickselect,1000,250,0.000017,4356
quickselect,1000,250,0.000010,1959
quickselect,1000,250,0.000014,3771
quickselect,1000,250,0.000017,4531
quickselect,1000,250,0.000016,4177
quickselect,1000,250,0.000017,3887
quickselect,1000,250,0.000015,2640
quickselect,1000,250,0.000016,3277
quickselect,1000,250,0.000014,4023
quickselect,1000,250,0.000015,3240
quickselect,1000,250,0.000013,2154
quickselect,1000,250,0.000018,4283
quickselect,1000,250,0.000016,4126
quickselect,1000,250,0.000014,2773
quickselect,1000,250,0.000015,3297
quickselect,1000,250,0.000010,1615
quickselect,1000,250,0.000014,2864
quickselect,1000,250,0.000016,3266
quickselect,1000,250,0.000013,2435
quickselect,1000,250,0.000015,3043
quickselect,1000,250,0.000012,2039
quickselect,1000,250,0.000016,3065
quickselect,1000,250,0.000015,2775
quickselect,1000,250,0.000019,3903
quickselect,1000,250,0.000014,2287
quickselect,1000,250,0.000016,3602
quickselect,1000,250,0.000022,2941
quickselect,1000,250,0.000013,2554
quickselect,1000,250,0.000016,2891
quickselect,1000,250,0.000016,1933
quickselect,1000,250,0.000024,3470
quickselect,1000,250,0.000021,3989
quickselect,1000,250,0.000015,2265
quickselect,1000,250,0.000013,3369
quickselect,1000,250,0.000018,2907
quickselect,1000,250,0.000019,4354
quickselect,1000,250,0.000020,3576
quickselect,1000,250,0.000017,4316
quickselect,1000,250,0.000018,4648
quickselect,1000,250,0.000012,1967
quickselect,1000,250,0.000013,2231
quickselect,1000,250,0.000015,3259
quickselect,1000,250,0.000014,3515
quickselect,1000,250,0.000013,2484
quickselect,1000,250,0.000018,3179
quickselect,1000,250,0.000014,3809
quickselect,1000,250,0.000010,1384
quickselect,1000,250,0.000015,3159
quickselect,1000,250,0.000015,3258
quickselect,1000,250,0.000016,3582
quickselect,1000,250,0.000018,4379
quickselect,1000,250,0.000016,4161
quickselect,1000,250,0.000013,2497
quickselect,1000,250,0.000018,4995
quickselect,1000,250,0.000016,4086
quickselect,1000,250,0.000018,2276
quickselect,1000,250,0.000017,2112
quickselect,1000,250,0.000013,2697
quickselect,1000,250,0.000014,2590
quickselect,1000,250,0.000010,1854
quickselect,1000,250,0.000018,4769
quickselect,1000,250,0.000018,3866
quickselect,1000,250,0.000013,1627
quickselect,1000,250,0.000023,4641
quickselect,1000,250,0.000026,5609
quickselect,1000,250,0.000030,5579
quickselect,1000,250,0.000017,3764
quickselect,1000,250,0.000012,2550
quickselect,1000,250,0.000059,3170
quickselect,1000,250,0.000019,3500
quickselect,1000,250,0.000018,3297
quickselect,1000,250,0.000022,2431
quickselect,1000,250,0.000016,1981
quickselect,1000,250,0.000020,3156
quickselect,1000,250,0.000015,2282
quickselect,1000,250,0.000021,3856
quickselect,1000,250,0.000018,3756
quickselect,1000,250,0.000022,5865
quickselect,1000,250,0.000020,4656
quickselect,1000,250,0.000014,2179
quickselect,1000,250,0.000016,2343
quickselect,1000,250,0.000020,4085
quickselect,1000,250,0.000009,2134
quickselect,1000,250,0.000020,4921
quickselect,1000,250,0.000033,2866
quickselect,1000,250,0.000014,2510
quickselect,1000,250,0.000016,3106
quickselect,1000,250,0.000019,3000
quickselect,1000,250,0.000020,3946
quickselect,1000,250,0.000020,3387
quickselect,1000,250,0.000020,3419
quickselect,1000,250,0.000014,2477
quickselect,1000,250,0.000015,2216
quickselect,1000,250,0.000018,3582
quickselect,1000,250,0.000023,2892
quickselect,1000,250,0.000017,3619
quickselect,1000,250,0.000014,1929
quickselect,1000,250,0.000011,1872
quickselect,1000,250,0.000017,3310
quickselect,1000,250,0.000015,3757
quickselect,1000,250,0.000015,2937
quickselect,1000,250,0.000013,3042
quickselect,1000,250,0.000024,7623
quickselect,1000,250,0.000008,2009
quickselect,1000,250,0.000018,4602
quickselect,1000,250,0.000015,3561
quickselect,1000,250,0.000016,3090
quickselect,1000,250,0.000020,4547
quickselect,1000,250,0.000013,2435
quickselect,1000,250,0.000019,4801
quickselect,1000,250,0.000012,2715
quickselect,1000,250,0.000013,2189
quickselect,1000,250,0.000017,2939
quickselect,1000,250,0.000012,2232
quickselect,1000,250,0.000015,3044
quickselect,1000,250,0.000020,4216
quickselect,1000,250,0.000016,3414
quickselect,1000,250,0.000011,3027
